function,file,line,package,verdict,design_score,test_score,quality_score,test_quality,tests_executing,direct_tests,cov_all_pct,mutants_killed,mutants_total,trivial,verified,top_issue
App.InventoryNode,internal/app/bmc.go,91,internal/app,nit,4,4,8,strong,67,TestVendorProfileFollowsTheMachine,88.9,4,5,False,,"Its normalisation parallels machine() but leaves out BMC-name and address aliases, which Select maps to the node. The doc's 'every spelling' therefore holds only for names Select has already canonicalised, and the two rules can drift apart."
App.BMCHost,internal/app/bmc.go,113,internal/app,good,5,5,10,strong,65,TestBMCHostPrefersTheInventoryAddress TestBMCHostRefusesWhatItCannotName TestVendorProfileFollowsTheMachine,100.0,4,4,False,,
App.BMCHosts,internal/app/bmc.go,129,internal/app,good,5,4,9,strong,38,TestBMCHostPrefersTheInventoryAddress,87.5,3,4,False,,
App.VendorProfile,internal/app/bmc.go,145,internal/app,good,5,4,9,strong,50,TestVendorProfileFollowsTheMachine TestBMCKeepsTheVendorProfileForEverySpelling,100.0,2,2,False,,
App.BMCCredentialName,internal/app/bmc.go,161,internal/app,good,5,4,9,strong,47,TestBMCPowerGroupsTheSetByAccount,100.0,1,1,False,,
App.BMCCredential,internal/app/bmc.go,170,internal/app,nit,4,4,8,strong,36,TestBMCFailuresKeepTheirExitCode,85.7,3,4,False,,"Wrapping every error as Usage overrides the Interrupted code promptPassword sets, so exitcode.From returns 2 after Ctrl-C at the prompt. Only the callers' errors.Is(context.Canceled) checks (report, codeOf) restore 130. Select, by contrast, keeps coded errors."
App.RedfishClient,internal/app/bmc.go,184,internal/app,nit,4,3,7,adequate,22,TestRedfishClientCarriesTheVendorResetTypes TestRedfishClientsAreBuiltConcurrently TestBMCHostRefusesWhatItCannotName,80.8,5,8,False,,"The pin-store default (Path(pinStore), else StatePath(""bmc-pins"")) is duplicated in cli/bmc.go:888-891 (bmc forget). If one copy changes, forget and the client disagree about where pins live."
App.noteFirstContact,internal/app/bmc.go,241,internal/app,good,5,3,8,adequate,21,TestFirstContactIsReported,80.0,1,1,False,,
App.IPMIBackend,internal/app/bmc.go,253,internal/app,nit,4,2,6,weak,14,,60.0,2,6,False,,"The credential, which may prompt for a password, is resolved before checking bmc.ipmi.via. With a prompt credential and no via, the administrator types a password only to get a configuration error. Calling Role("""") and then replacing its message is also roundabout."
App.BMCOrder,internal/app/bmc.go,283,internal/app,nit,4,4,8,strong,32,TestBMCOrderIsCheckedAndFallsBack TestBMCKeepsTheVendorProfileForEverySpelling,80.0,1,2,False,,"It returns raw strings, so provision.go:1104 repeats ToLower/TrimSpace on order[0], duplicating BMCTransports without its validation. The hard-coded fallback repeats defaults.yaml bmc.order and runs only for an explicit empty list."
App.BMCTransports,internal/app/bmc.go,296,internal/app,nit,4,4,8,strong,23,TestBMCTransportsRefusesAnUnknownEntry TestBMCOrderIsCheckedAndFallsBack,100.0,4,5,False,,"It re-derives the vendor precedence (InventoryNode, attribute, Vendors[vendor].Order) only to name the setting in the error, duplicating BMCOrder and VendorProfile. A change to the precedence must be made in both places."
App.PreferredBMCTransport,internal/app/bmc.go,320,internal/app,rework,2,2,4,weak,1,TestBMCOrderPrefersRedfish,75.0,0,1,False,upheld,"An invalid order (e.g. 'impi') yields Redfish, which is exactly what BMCTransports refuses so that a misspelt ipmi does not send the BMC account over another protocol. Only TestBMCOrderPrefersRedfish calls it, and provision.go:1104 hand-rolls the same check instead."
App.machineIndex,internal/app/machine.go,31,internal/app,good,5,3,8,adequate,305,TestSelectNamesMachinesNotSpellings TestSelectKeepsAnAmbiguousNameAsWritten,100.0,1,3,False,,
machines.alias,internal/app/machine.go,65,internal/app,bug,2,3,5,adequate,304,TestSelectKeepsAnAmbiguousNameAsWritten,77.8,2,3,False,upheld,"Only exact inventory names are protected. If exe0003 has bmcAddress: exe4, Select(""exe4"") returns exe0003 (verified) while EXE04 returns exe0004. This contradicts machineIndex's stated invariant, so a power action typed as exe4 hits exe0003."
App.machine,internal/app/machine.go,89,internal/app,good,5,4,9,strong,305,TestSelectNamesMachinesNotSpellings,85.7,4,4,False,,
App.protectedHosts,internal/app/machine.go,117,internal/app,nit,4,4,8,strong,301,TestProtectedHostsEntryProtectsTheMachineHoweverItIsWritten TestProtectedHostsEntryThatNamesNoKnownNodeIsRefused TestProtectedHostsEntryMayBeAGroup TestProtectedHostsGroupThatCannotBeResolvedRefusesChanges,88.9,4,6,False,,"It is passed as a.protectedHosts to NewGate's resolve parameter. The name describes a result set, not the resolution of one expression, and sits next to Gate.Protected, which returns every protected host."
App.RemoteFile,internal/app/remote.go,32,internal/app,rework,3,3,6,adequate,29,TestRemoteFileIsCached TestRemoteFileReportsAFailure TestDHCPReadFailureKeepsTheMessage TestDHCPCacheIsKeptPerTarget TestDryRunReadsDHCPForReal,95.0,4,8,False,upheld,"Duplicates runOnRole's failure handling and has drifted (verified with a Recorder). A silent non-zero exit reports `reading /x on dhcp: ""the command failed without saying why""` with no exit code. A coded runner error is re-wrapped as Transport, exit 3 where runOnRole keeps 2."
App.remoteCachePath,internal/app/remote.go,83,internal/app,good,5,4,9,strong,29,TestDHCPCacheIsKeptPerTarget,100.0,,,False,,
App.cacheScope,internal/app/remote.go,96,internal/app,good,5,4,9,strong,307,TestGroupCacheIsKeptPerCluster,100.0,,,False,,
App.RunOnRole,internal/app/remote.go,105,internal/app,good,5,3,8,adequate,25,,100.0,,,True,,
App.ReadOnRole,internal/app/remote.go,112,internal/app,good,5,3,8,adequate,29,,100.0,,,True,,
App.runOnRole,internal/app/remote.go,116,internal/app,nit,4,2,6,weak,39,TestFailedCommandOnARoleIsNotUnreachable,66.7,5,8,False,,"Output cut off at 32 MiB with exit 0 leaves an uncoded result.Err. The error then reads `dhcp: exit 0: ""<first stdout line>""` (verified), and the actual reason is lost."
hasCode,internal/app/remote.go,148,internal/app,good,5,2,7,weak,1,,100.0,0,1,False,,
firstNonEmptyLine,internal/app/remote.go,153,internal/app,nit,4,2,6,weak,3,,80.0,1,1,False,,"A near-duplicate of internal/groups/groups.go:484 firstLine, which does the same in six stdlib lines. The two copies already differ in which whitespace they trim."
splitLines,internal/app/remote.go,164,internal/app,nit,4,2,6,weak,3,,100.0,2,2,False,downgraded,"Reimplements strings.Split and quietly trims each line. Its only caller, firstNonEmptyLine, could iterate strings.SplitSeq directly."
trimSpace,internal/app/remote.go,176,internal/app,nit,4,1,5,incidental,3,,60.0,2,4,False,downgraded,"Shares its name with strings.TrimSpace but behaves differently: it ignores \v, \f and Unicode spaces. A one-call stdlib equivalent exists."
App.Identities,internal/app/secrets.go,32,internal/app,good,5,2,7,weak,1,,85.7,0,2,False,,
App.identityFilesLocked,internal/app/secrets.go,46,internal/app,good,5,3,8,adequate,12,,100.0,2,4,False,,
App.SecretValue,internal/app/secrets.go,60,internal/app,nit,4,4,8,strong,8,TestSecretValueDecryptsWithTheWorkstationIdentities TestSecretValueFallsBackToTheKeysOfSops TestSecretValueSaysWhatWasTried,85.7,3,4,False,,"'Once per process' holds for the CLI, but the MCP server builds a new App for every call (mcpserver/server.go:179), so there it decrypts once per call."
App.SecretValues,internal/app/secrets.go,75,internal/app,good,5,4,9,strong,15,TestSecretValuesAreNotParsedTwice TestSecretValuesThatSopsWouldRetypeAreRefused TestSecretsWithoutATerminalUseOnlyTheWorkstationIdentities,88.0,6,8,False,,
App.Sops,internal/app/secrets.go,117,internal/app,good,5,3,8,adequate,14,,100.0,,,True,,
App.sopsLocked,internal/app/secrets.go,123,internal/app,good,5,3,8,adequate,20,,85.7,1,2,False,,
App.SecretContent,internal/app/secrets.go,139,internal/app,good,5,2,7,weak,6,TestSecretValueDecryptsWithTheWorkstationIdentities,77.8,4,5,False,,
App.checkSiteHosts,internal/app/sitehosts.go,22,internal/app,good,5,3,8,adequate,4,TestReadCommandReachesOnlyTheSitesHosts,94.4,4,7,False,,
inDomains,internal/app/sitehosts.go,53,internal/app,good,5,3,8,adequate,1,,100.0,3,3,False,,
App.Slurm,internal/app/slurm.go,13,internal/app,good,5,3,8,adequate,43,,71.4,2,4,False,,
newBMCCommand,internal/cli/bmc.go,30,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
bmcSet,internal/cli/bmc.go,57,internal/cli,good,4,2,6,weak,41,TestBMCRefusesANodeWithoutAServiceProcessorName,100.0,4,4,False,,8 of 9 callers discard bmcs and call this only for its refusal side effect. The name hides that intent.
newBMCStatusCommand,internal/cli/bmc.go,69,internal/cli,good,5,4,9,strong,339,,90.9,,,True,,
newBMCPowerCommand,internal/cli/bmc.go,93,internal/cli,good,5,4,9,strong,339,TestBMCPowerChecksTheActionFirst TestBMCPowerCycleIsBatched TestBMCPowerOnReportsEveryBatch TestBMCPowerOverIPMIReportsEveryNode TestBMCPowerGroupsTheSetByAccount TestBMCPowerUsesTheInventoryAddress,97.1,6,8,False,,
confirmResolved,internal/cli/bmc.go,184,internal/cli,good,4,3,7,adequate,23,,85.7,5,6,False,,
powerBatching,internal/cli/bmc.go,199,internal/cli,good,5,4,9,strong,37,TestBMCPowerOnReportsEveryBatch TestBMCPowerCycleIsBatched,88.9,3,5,False,,
bmcPowerState,internal/cli/bmc.go,220,internal/cli,good,4,4,8,strong,4,TestBMCOrderIsCheckedAndFallsBack TestBMCActionThatReachedTheProcessorIsNotSentAgain,83.3,4,5,False,,The name suggests it returns power states. It prints them and returns the command's error.
resetTypeFor,internal/cli/bmc.go,232,internal/cli,good,5,1,6,incidental,5,,42.9,0,1,False,,
addLoseJobsFlag,internal/cli/bmc.go,252,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
checkSlurmIdle,internal/cli/bmc.go,269,internal/cli,nit,4,4,8,strong,36,TestSlurmCheckIsOnForAFreshConfiguration TestSlurmCheckSaysWhenItIsOff TestSlurmCheckRefusesEveryBusyState TestSlurmCheckRefusesNodesSlurmDidNotReport TestSlurmCheckRefusesWhenSlurmCannotBeAsked TestForceDoesNotLoseJobs TestSlurmCheckRunsInADryRun TestRedfishPostResetChecksSlurm TestSlurmCheckCoversLongHostLists,92.3,7,8,False,,action is used as a sentinel: provision and redfish post pass ipmi.ActionReset only to force the check. The exemption belongs to bmc power.
plural2,internal/cli/bmc.go,309,internal/cli,nit,4,1,5,incidental,8,,66.7,,,True,downgraded,"'plural2' does not say it returns a verb form, and the 2 suffix only avoids a clash with hostkey.go's plural. internal/slurm/slurm.go:539 names the same thing isAre."
slurmJobState.idle,internal/cli/bmc.go,328,internal/cli,good,5,4,9,strong,25,,100.0,,,True,,
slurmJobState.String,internal/cli/bmc.go,333,internal/cli,good,5,2,7,weak,9,,100.0,2,3,False,,
slurmJobs,internal/cli/bmc.go,360,internal/cli,nit,4,2,6,weak,26,TestSlurmCheckRefusesNodesSlurmDidNotReport TestSlurmCheckCoversLongHostLists TestSlurmCheckRunsInADryRun TestSlurmCheckRefusesWhenSlurmCannotBeAsked,91.7,3,8,False,,The name suggests a job query (squeue). It classifies node states from sinfo.
classifySlurmState,internal/cli/bmc.go,444,internal/cli,good,5,4,9,strong,24,TestSlurmCheckRefusesEveryBusyState,100.0,1,1,False,,
newBMCBootCommand,internal/cli/bmc.go,465,internal/cli,nit,4,2,6,weak,339,,59.1,1,8,False,,`clear :=` shadows Go's builtin clear and differs from the command name 'unset'.
newBMCRedfishCommand,internal/cli/bmc.go,590,internal/cli,bug,2,2,4,weak,339,TestRedfishPostResetChecksSlurm,73.2,3,8,False,upheld,"Verified with BMC_PASSWORD unset: `--dry-run bmc redfish post /x '{}' -n exe0001` previews and exits 0, while the real run exits 2 on the missing credential. This breaks doc/safety.md ('exits zero only when the real run would go ahead')."
resetsHost,internal/cli/bmc.go,711,internal/cli,nit,4,3,7,adequate,1,,100.0,,,True,,The doc says it tells whether a POST 'may power a machine off'. Power-button actions such as HPE's HpeComputerSystemExt.PowerButton power off without 'reset' in the path and skip the Slurm check.
redfishRequest,internal/cli/bmc.go,715,internal/cli,good,4,2,6,weak,1,,75.0,3,8,False,,
jsonOut,internal/cli/bmc.go,741,internal/cli,nit,4,1,5,incidental,1,,71.4,0,5,False,,"The name promises JSON, but machine formats such as yaml or jsonpath are honoured. json.MarshalIndent also turns '<' in a Redfish message into < on the terminal."
newBMCWebCommand,internal/cli/bmc.go,753,internal/cli,nit,4,2,6,weak,339,TestBMCWebSelectsTheNode TestBMCWebPrintsTheURL,68.4,2,8,False,,"CommandContext kills the child when a.Context() ends. main's stop() cancels it just before os.Exit, which races with killing a browser (or xdg-open) that should outlive clusterctl."
newBMCPingCommand,internal/cli/bmc.go,789,internal/cli,bug,2,2,4,weak,339,TestBMCPingReadsTheSweepCarefully,79.1,3,8,False,upheld,"Verified: `--dry-run bmc ping -n exe[0001-0002]` sends nothing, prints '0 of 2 answered' and exits 1. doc/safety.md says read-only lookups run for real in a dry run."
newBMCForgetCommand,internal/cli/bmc.go,870,internal/cli,nit,4,4,8,strong,339,TestBMCForgetGoesThroughTheGate TestBMCForgetRemovesAPin,83.3,6,8,False,,"The pin-store path default is copied from app/bmc.go:213-216. If one side changes, forget would edit a different file than the Redfish client pins to, and no test uses the default path."
pinsToForget,internal/cli/bmc.go,933,internal/cli,bug,2,3,5,adequate,2,TestBMCForgetGoesThroughTheGate TestBMCForgetRemovesAPin,79.4,4,8,False,upheld,Verified: `bmc forget -y -n exe0001 exe0008.mgmt.hpc.example.org` forgets only exe0008 and exits 0. With the arg 'exe0008' the same line is a usage error. An explicit -n selection is dropped silently.
recordedPin,internal/cli/bmc.go,994,internal/cli,good,5,2,7,weak,2,,85.7,4,5,False,,
nodeOfBMC,internal/cli/bmc.go,1010,internal/cli,good,5,3,8,adequate,1,,62.5,1,3,False,,
newPDUCommand,internal/cli/bmc.go,1025,internal/cli,good,5,3,8,adequate,339,,100.0,,,True,,
pduHost,internal/cli/bmc.go,1034,internal/cli,good,4,3,7,adequate,1,,85.7,1,3,False,,
newPDUShellCommand,internal/cli/bmc.go,1047,internal/cli,bug,2,1,3,incidental,339,,4.5,0,8,False,upheld,Spec.BMC.PDU.Credential is read nowhere in the code. A site with bmc.pdu.credential naming a credential with username 'apc' still connects as admin@pdu…
newPDUListCommand,internal/cli/bmc.go,1086,internal/cli,nit,4,3,7,adequate,339,TestPDUListDerivesTheNames,84.6,3,5,False,,"Verified: rack 'Alpha' lists as 'pduAlpha-Alpha.mgmt.example.org', not without a row as the help says."
rowOf,internal/cli/bmc.go,1114,internal/cli,nit,4,2,6,weak,1,,71.4,3,4,False,downgraded,"The doc does not say the row is the first digit ('R02' gives '0'). The manual lists R02 as pdu0-R02 but shows `pdu shell 1 R02` for the same rack. With no digits the rack doubles as the row, which contradicts the pdu list help."
bmcResult.fail,internal/cli/bmcpower.go,58,internal/cli,good,5,4,9,strong,8,,100.0,,,True,,
redfishClients,internal/cli/bmcpower.go,72,internal/cli,good,5,3,8,adequate,1,TestBMCFailuresKeepTheirExitCode,100.0,2,2,False,,
redfishEach,internal/cli/bmcpower.go,109,internal/cli,nit,4,4,8,strong,12,TestAPanicOnOneProcessorFailsOnlyThatNode TestBMCInterruptedResetIsReportedAsUnknown TestBMCInterruptInFlightExits130,91.7,5,6,False,,"The do callback takes (ctx, node string, client). Every caller (bmc.go:502,529,552,668,721; provision.go:1221,1522; bmcpower.go:595,609) names the string '_'."
redfishCall[T].send,internal/cli/bmcpower.go,147,internal/cli,good,5,4,9,strong,12,TestAPanicOnOneProcessorFailsOnlyThatNode,100.0,2,2,False,,
interruptedState,internal/cli/bmcpower.go,162,internal/cli,good,5,4,9,strong,1,TestBMCInterruptedResetIsReportedAsUnknown TestBMCInterruptInFlightExits130,100.0,,,True,,
errNotSent,internal/cli/bmcpower.go,173,internal/cli,good,4,4,8,strong,1,TestBMCInterruptedResetIsReportedAsUnknown,100.0,,,True,,
bmcError,internal/cli/bmcpower.go,178,internal/cli,nit,4,3,7,adequate,10,TestBMCInterruptedResetIsReportedAsUnknown TestBMCInterruptInFlightExits130 TestBMCFailuresKeepTheirExitCode,90.0,5,7,False,,"The name reads as a constructor or type, not as a classification. At call sites, call.err = bmcError(ctx, err, changes) does not show that the error may be recoded as Interrupted or Transport."
bmcUnreachable,internal/cli/bmcpower.go,199,internal/cli,nit,4,2,6,weak,3,,60.0,0,4,False,,"The doc says 'resolved, reached or trusted', but the function also counts EOF, ErrUnexpectedEOF and ECONNRESET: a processor that was reached but not heard to the end."
neverSent,internal/cli/bmcpower.go,228,internal/cli,good,5,4,9,strong,5,TestBMCOrderIsCheckedAndFallsBack TestBMCActionThatReachedTheProcessorIsNotSentAgain TestAChangedCertificateIsOneFailureInEveryCommand,100.0,2,2,False,,
callResults,internal/cli/bmcpower.go,240,internal/cli,nit,4,4,8,strong,6,TestBMCInterruptedResetIsReportedAsUnknown TestAPanicOnOneProcessorFailsOnlyThatNode,100.0,2,3,False,downgraded,"A call with a nil client has sent=false and err=nil (redfishEach L122-123), so r.fail(c.err) dereferences nil and panics. It would also be counted as interrupted (exit 130). No current caller combines the two; provision status uses nil clients."
printBMCResults,internal/cli/bmcpower.go,267,internal/cli,good,5,2,7,weak,18,TestBMCPowerOverIPMIReportsEveryNode TestBMCPowerOnReportsEveryBatch,83.3,2,5,False,,
bmcExit,internal/cli/bmcpower.go,290,internal/cli,good,5,4,9,strong,18,TestBMCPowerOnReportsEveryBatch TestBMCInterruptedResetIsReportedAsUnknown TestBMCPowerOverIPMIReportsEveryNode TestBMCFailuresKeepTheirExitCode,100.0,6,8,False,,
codeOf,internal/cli/bmcpower.go,348,internal/cli,nit,4,3,7,adequate,8,TestBMCFailuresKeepTheirExitCode,100.0,1,1,False,,"The same cancel-to-130 mapping is duplicated in provision.go:1398-1401 and helpers.go:157, so the policy can drift between fan-outs."
rank,internal/cli/bmcpower.go,356,internal/cli,nit,4,3,7,adequate,7,TestBMCFailuresKeepTheirExitCode TestBMCPowerOverIPMIReportsEveryNode,80.0,,,False,,Duplicates codeWeight in provision.go:1412. The two orderings must be kept in step by hand.
bmcFailures.Error,internal/cli/bmcpower.go,376,internal/cli,nit,4,4,8,strong,2,TestBMCPowerOnReportsEveryBatch,100.0,,,True,,"bmcFailures has the same fields and methods as hostFailures, which namedFailures already reuses for provision."
bmcFailures.Unwrap,internal/cli/bmcpower.go,378,internal/cli,good,4,1,5,incidental,7,,100.0,,,True,,
planBMC,internal/cli/bmcpower.go,393,internal/cli,good,5,4,9,strong,33,TestBMCKeepsTheVendorProfileForEverySpelling TestBMCPowerUsesTheInventoryAddress TestBMCOrderIsCheckedAndFallsBack,85.7,4,6,False,,
transportTitle,internal/cli/bmcpower.go,421,internal/cli,good,5,4,9,strong,32,TestBMCActionThatReachedTheProcessorIsNotSentAgain,100.0,,,True,,
bmcPlan.describe,internal/cli/bmcpower.go,430,internal/cli,good,5,2,7,weak,32,TestBMCPowerGroupsTheSetByAccount TestBMCKeepsTheVendorProfileForEverySpelling,100.0,2,3,False,,
bmcPlan.resolve,internal/cli/bmcpower.go,461,internal/cli,good,5,2,7,weak,22,TestBMCFailuresKeepTheirExitCode,85.7,0,4,False,,
bmcPlan.client,internal/cli/bmcpower.go,477,internal/cli,nit,4,4,8,strong,10,TestBMCFailuresKeepTheirExitCode,100.0,3,3,False,,"No doc comment. That it caches, and wraps the error with the node name, is left to the reader. The build and wrap duplicate redfishClients."
bmcPlan.backend,internal/cli/bmcpower.go,491,internal/cli,good,5,4,9,strong,14,TestBMCPowerGroupsTheSetByAccount TestBMCKeepsTheVendorProfileForEverySpelling,87.5,2,3,False,,
bmcPlan.run,internal/cli/bmcpower.go,509,internal/cli,good,5,4,9,strong,18,TestBMCOrderIsCheckedAndFallsBack TestBMCActionThatReachedTheProcessorIsNotSentAgain TestAChangedCertificateIsOneFailureInEveryCommand,96.7,6,6,False,,
